IMT Deployment,Number of Incidents,Seed Value,Code
1,4,723,1-4-723
2,4,723,2-4-723
3,4,723,3-4-723
1,5,886,1-5-886
2,5,886,2-5-886
3,5,886,3-5-886
1,7,472,1-7-472
2,7,472,2-7-472
3,7,472,3-7-472
1,7,907,1-7-907
2,7,907,2-7-907
3,7,907,3-7-907
1,10,518,1-10-518
2,10,518,2-10-518
3,10,518,3-10-518
1,11,790,1-11-790
2,11,790,2-11-790
3,11,790,3-11-790
1,11,418,1-11-418
2,11,418,2-11-418
3,11,418,3-11-418
1,11,847,1-11-847
2,11,847,2-11-847
3,11,847,3-11-847
1,12,141,1-12-141
2,12,141,2-12-141
3,12,141,3-12-141
1,12,340,1-12-340
2,12,340,2-12-340
3,12,340,3-12-340
1,18,499,1-18-499
2,18,499,2-18-499
3,18,499,3-18-499
1,18,167,1-18-167
2,18,167,2-18-167
3,18,167,3-18-167
1,18,915,1-18-915
2,18,915,2-18-915
3,18,915,3-18-915
1,19,637,1-19-637
2,19,637,2-19-637
3,19,637,3-19-637
1,19,879,1-19-879
2,19,879,2-19-879
3,19,879,3-19-879
1,19,227,1-19-227
2,19,227,2-19-227
3,19,227,3-19-227
1,20,584,1-20-584
2,20,584,2-20-584
3,20,584,3-20-584
1,20,951,1-20-951
2,20,951,2-20-951
3,20,951,3-20-951
1,21,472,1-21-472
2,21,472,2-21-472
3,21,472,3-21-472
1,21,946,1-21-946
2,21,946,2-21-946
3,21,946,3-21-946