Incident ID,Class,Affected Volume,Total Excess Travel time,Date ,Time,Location,Lattitude,Longitude,Lanes,Lanes Closed,Capacity reduction (w/ TWA),Lanes closed  (TWA),RCT,RCT [min],ICT for IMT,ICT for IMT [min],Responding IMTs,Inflated time,MATSim Link,Start Time (sec),End Time (sec),,,,,
1,1,1545,45.33,3/4/2018,11:41:15 AM,500 S I15 SB,40.74,-111.9,5,3,0.38,1.89,12:42:45 AM,42.8,1:12:53 AM,72.9,1,89.8,30673,42075,47463,,,,,
2,1,8933,14.64,3/6/2018,9:02:50 AM,3800 S I215E SB,40.69,-111.95,3,2,0.49,1.48,12:56:10 AM,56.2,1:19:06 AM,79.1,1,97.5,24448,32570,38420,,,,,
3,1,4092,46.95,3/7/2018,7:31:06 AM,7762 E I80 EB,40.75,-111.72,3,1,0.33,1,12:26:54 AM,26.9,12:30:46 AM,30.8,1,37.9,30652,27066,29340,,,,,
4,1,6982,52.16,3/7/2018,9:14:42 AM,281930 I15 NB; MM 282 I15 NB,40.4,-111.85,5,1,0.2,1,12:16:18 AM,16.3,12:55:35 AM,55.6,1,68.5,33522,33282,37392,,,,,
5,1,6035,175.65,3/8/2018,4:27:17 PM,900 S I15 SB,40.75,-111.91,5,2,0.4,2,12:23:43 AM,23.7,12:18:53 AM,18.9,2,23.3,33607,59237,60635,,,,,
6,1,27602,155.73,3/13/2018,2:32:03 PM,3300 S I15 SB,40.7,-111.9,4,1,0.25,1,12:14:57 AM,15,12:42:45 AM,42.8,1,52.7,24897,52323,55485,,,,,
7,1,4605,14.69,3/15/2018,12:18:41 PM,7682 E I80 WB,40.74,-111.73,3,2,0.35,1.06,1:04:19 AM,64.3,1:04:31 AM,64.5,2,79.5,24924,44321,49091,,,,,
8,1,5532,104.46,3/16/2018,11:34:20 AM,5400 S I15 NB,40.64,-111.9,5,2,0.22,1.11,12:12:40 AM,12.7,12:58:07 AM,58.1,2,71.6,24970,41660,45956,,,,,
9,1,10792,75.22,3/21/2018,9:08:23 AM,274983 I15 NB; MM 275 I15 NB,40.35,-111.76,6,1,0.17,1,12:34:37 AM,34.6,2:10:56 AM,130.9,1,161.3,24953,32903,42581,,,,,
10,1,15160,198.83,3/26/2018,9:27:01 AM,11400 S I15 SB,40.56,-111.9,6,1,0.17,1,1:02:59 AM,63,1:35:01 AM,95,2,117.1,2841,34021,41047,,,,,
11,1,10240,166.39,3/29/2018,8:32:33 AM,278101 I15 NB; MM 278 I15 NB,40.38,-111.83,5,1,0.2,1,12:07:27 AM,7.5,1:08:16 AM,68.3,2,84.1,31635,30753,35799,,,,,
12,1,2696,146.6,5/1/2018,6:50:18 AM,269012 I15 SB,40.27,-111.72,5,1,0.2,1,12:49:42 AM,49.7,12:31:09 AM,31.1,1,38.4,30761,24618,26922,,,,,
13,1,2382,32.11,5/2/2018,3:55:00 PM,2200 S I15 NB,40.72,-111.9,4,2,0.5,2,12:09:00 AM,9,1:07:17 AM,67.3,2,82.9,24986,57300,62274,,,,,
14,1,4604,82.77,5/3/2018,9:13:30 AM,5800 S I15 SB,40.64,-111.9,6,2,0.28,1.67,12:06:30 AM,6.5,12:55:03 AM,55,1,67.8,24342,33210,37278,,,,,
15,1,7086,6.81,5/4/2018,7:27:56 AM,1350 S I215W NB,40.75,-111.95,5,1,0.2,1,12:32:04 AM,32.1,1:08:34 AM,68.6,1,84.5,30667,26876,31946,,,,,
16,1,7945,37.55,5/4/2018,2:20:42 PM,400 E I80  WB,40.72,-111.89,5,2,0.2,1.02,1:14:18 AM,74.3,12:16:25 AM,16.4,1,20.2,24859,51642,52854,,,,,
17,1,741,7.59,5/8/2018,12:13:59 PM,7762 E I80 EB,40.75,-111.71,3,2,0.67,2,12:17:01 AM,17,1:36:04 AM,96.1,2,118.4,30679,44039,51143,,,,,
18,1,4291,111.04,5/15/2018,4:15:17 PM,2500 S I15 SB,40.71,-111.9,4,2,0.5,2,12:04:43 AM,4.7,12:32:13 AM,32.2,1,39.7,4554,58517,60899,,,,,
19,1,3187,27.52,5/21/2018,1:54:11 PM,1100 S I15 SB,40.74,-111.9,5,1,0.2,1,12:12:49 AM,12.8,12:34:42 AM,34.7,1,42.8,45967,50051,52619,,,,,
20,1,3749,97.45,5/23/2018,4:27:47 PM,3800 W I80 EB,40.76,-111.99,3,1,0.33,1,1:19:13 AM,79.2,12:59:03 AM,59,2,72.7,31098,59267,63629,,,,,
21,1,1359,18.68,5/30/2018,3:29:22 PM,4934 W I80 WB; MM 114 I80 WB,40.77,-112.01,4,1,0.25,1,1:14:38 AM,74.6,12:09:41 AM,9.7,1,11.9,24417,55762,56476,,,,,
22,1,3243,110.41,6/4/2018,6:23:16 PM,5400 S I15 NB,40.65,-111.9,5,2,0.2,1,12:06:44 AM,6.7,1:21:33 AM,81.6,2,100.5,2841,66196,72226,,,,,
23,1,3509,35.61,6/13/2018,8:16:57 AM,1900 S I215W NB,40.73,-111.95,2,2,0.5,1,1:21:00 AM,81,1:27:10 AM,87.2,2,107.4,24626,29817,36261,,,,,
24,1,7912,177.03,6/19/2018,8:56:32 AM,279002 I15 NB,40.38,-111.83,5,1,0.2,1,12:35:28 AM,35.5,4:16:45 AM,256.7,2,316.3,30493,32192,51170,,,,,
25,1,12547,62.67,6/20/2018,8:58:01 AM,2400 N I15 SB,40.82,-111.92,4,1,0.25,1,12:22:59 AM,23,12:18:53 AM,18.9,1,23.3,30679,32281,33679,,,,,
26,1,1200,9.9,6/21/2018,1:24:31 AM,259003 I15 SB,40.14,-111.65,5,6,1.18,5.88,3:05:29 AM,185.5,1:24:41 AM,84.7,1,104.3,24436,5071,11329,,,,,
27,1,11813,127.91,6/26/2018,1:41:14 PM,4900 S I15 SB,40.67,-111.9,5,1,0.2,1,12:19:47 AM,19.8,12:30:29 AM,30.5,2,37.6,46144,49274,51530,,,,,
28,1,2755,8.84,7/3/2018,6:40:33 AM,1300 W I215S WB,40.64,-111.92,4,1,0.25,1,12:24:27 AM,24.5,12:50:19 AM,50.3,3,62,46870,24033,27753,,,,,
29,1,8803,152.72,7/5/2018,3:38:58 PM,3000 S I15 NB,40.71,-111.9,6,1,0.17,1,12:08:02 AM,8,1:02:59 AM,63,1,77.6,30814,56338,60994,,,,,
30,1,6633,79.38,7/9/2018,11:42:54 AM,10600 S I15 SB,40.55,-111.9,6,1,0.17,1,12:18:06 AM,18.1,1:04:26 AM,64.4,2,79.4,30663,42174,46938,,,,,
31,1,3409,100.31,7/10/2018,8:30:33 AM,13000 S I15 NB,40.51,-111.89,5,2,0.4,2,12:14:27 AM,14.5,12:51:31 AM,51.5,2,63.5,30816,30633,34443,,,,,
32,1,6145,121.16,7/10/2018,1:24:37 PM,4500 S I15 NB,40.67,-111.9,5,1,0.2,1,12:23:23 AM,23.4,12:42:59 AM,43,1,53,45961,48277,51457,,,,,
33,1,2669,51.15,7/12/2018,6:28:15 PM,175 W I215S WB,40.63,-111.88,3,3,0.88,2.63,12:12:45 AM,12.8,12:37:40 AM,37.7,1,46.4,24342,66495,69279,,,,,
34,1,10519,191.18,7/16/2018,12:23:05 PM,271005 I15 SB,40.3,-111.73,6,3,0.36,2.17,1:35:55 AM,95.9,1:39:05 AM,99.1,2,122.1,24404,44585,51911,,,,,
35,1,4854,155.03,7/17/2018,5:21:48 PM,2300 S I15 NB,40.72,-111.9,4,1,0.25,1,12:34:12 AM,34.2,12:36:50 AM,36.8,2,45.4,46144,62508,65232,,,,,
36,1,6477,142.99,7/17/2018,5:32:43 PM,13932 S I15 NB,40.49,-111.89,5,1,0.2,1,12:27:17 AM,27.3,12:46:00 AM,46,2,56.7,24390,63163,66565,,,,,
37,1,8463,33.47,7/18/2018,2:48:49 PM,272003 I15 SB,40.31,-111.73,6,1,0.17,1,12:23:11 AM,23.2,1:12:51 AM,72.9,1,89.8,30674,53329,58717,,,,,
38,1,6928,34.99,7/19/2018,6:02:09 PM,3900 S I15 SB,40.68,-111.9,7,1,0.14,1,12:08:51 AM,8.9,12:49:57 AM,49.9,1,61.5,35043,64929,68619,,,,,
39,1,5155,51.74,7/30/2018,8:03:20 AM,284059 I15 NB,40.42,-111.88,5,1,0.2,1,12:14:40 AM,14.7,1:32:33 AM,92.5,2,114,24957,29000,35840,,,,,
40,1,2077,4.46,8/6/2018,10:50:59 AM,12200 S I15 SB,40.52,-111.89,6,1,0.17,1,12:04:01 AM,4,1:06:43 AM,66.7,1,82.2,30667,39059,43991,,,,,
41,1,10225,112.41,8/6/2018,4:47:18 PM,7121 S I15 SB,40.65,-111.9,7,1,0.14,1,12:09:42 AM,9.7,12:22:32 AM,22.5,1,27.8,30847,60438,62106,,,,,
42,1,5483,114.35,8/8/2018,8:03:57 AM,271005 I15 NB,40.3,-111.73,6,2,0.21,1.23,12:27:03 AM,27.1,12:13:14 AM,13.2,1,16.3,30679,29037,30015,,,,,
43,1,3348,94.47,8/16/2018,7:58:34 AM,14200 S I15 NB,40.5,-111.89,5,1,0.2,1,12:11:26 AM,11.4,12:40:45 AM,40.8,1,50.2,24924,28714,31726,,,,,
44,1,10350,23.7,8/22/2018,9:32:06 AM,6200 S I15 SB,40.65,-111.9,7,1,0.14,1,1:11:54 AM,71.9,12:46:03 AM,46.1,1,56.7,30674,34326,37728,,,,,
45,1,9212,1.15,8/23/2018,1:36:43 PM,261034 I15 SB,40.16,-111.65,6,1,0.17,1,12:17:17 AM,17.3,12:23:39 AM,23.6,1,29.1,24616,49003,50749,,,,,
46,1,2888,84.48,8/24/2018,5:49:06 PM,1300 E I80 EB,40.72,-111.87,4,1,0.25,1,12:13:54 AM,13.9,12:24:15 AM,24.3,1,29.9,24514,64146,65940,,,,,
47,1,6159,18.08,8/27/2018,9:35:04 AM,1133 N I15 SB,40.79,-111.92,4,1,0.25,1,12:50:56 AM,50.9,1:30:13 AM,90.2,1,111.1,24351,34504,41170,,,,,
48,1,2803,165.34,8/27/2018,5:28:14 PM,2730 S I15 NB,40.71,-111.9,6,1,0.17,1,12:31:46 AM,31.8,12:28:06 AM,28.1,2,34.6,2841,62894,64970,,,,,
49,1,4978,6.32,9/6/2018,6:51:36 AM,279008 I15 SB,40.38,-111.83,6,2,0.33,2,12:49:24 AM,49.4,1:10:44 AM,70.7,2,87.1,30673,24696,29922,,,,,
50,1,6973,30.28,9/6/2018,5:08:22 PM,14400 S I15 NB,40.48,-111.9,6,1,0.17,1,12:51:38 AM,51.6,1:06:06 AM,66.1,1,81.4,31022,61702,66586,,,,,
51,1,7957,172.84,9/7/2018,3:34:47 PM,645 W I215S WB,40.63,-111.89,3,1,0.33,1,12:52:13 AM,52.2,12:59:50 AM,59.8,2,73.7,24913,56087,60509,,,,,
52,1,5162,183.36,9/10/2018,8:24:28 AM,514 E I215S WB,40.63,-111.87,3,1,0.33,1,12:52:32 AM,52.5,12:39:22 AM,39.4,1,48.5,24384,30268,33178,,,,,
53,1,3703,44.92,9/10/2018,9:47:48 AM,7200 S I15 SB,40.62,-111.91,5,2,0.4,2,12:14:12 AM,14.2,2:08:37 AM,128.6,3,158.5,24605,35268,44778,,,,,
54,1,1525,161.91,9/11/2018,1:34:12 PM,256997 I15 NB,40.11,-111.67,3,2,0.52,1.57,12:51:48 AM,51.8,3:04:13 AM,184.2,4,227,38274,48852,62472,,,,,
55,1,2669,165.1,9/12/2018,11:39:07 AM,1746 N I15 NB,40.8,-111.92,4,1,0.25,1,12:55:53 AM,55.9,12:48:50 AM,48.8,1,60.2,30859,41947,45559,,,,,
56,1,11060,88.29,9/12/2018,2:17:15 PM,261033 I15 NB; MM 261 I15 NB,40.18,-111.65,5,1,0.2,1,12:29:45 AM,29.8,12:52:34 AM,52.6,1,64.8,31073,51435,55323,,,,,
57,1,7128,70.6,9/18/2018,9:04:30 AM,2200 S I15 NB,40.71,-111.9,4,1,0.25,1,12:04:30 AM,4.5,2:03:21 AM,123.4,3,152,30651,32670,41790,,,,,
58,1,10478,104.73,9/18/2018,12:50:36 PM,4200 S I15 SB,40.68,-111.9,7,1,0.14,1,12:21:24 AM,21.4,2:16:31 AM,136.5,2,168.2,35810,46236,56328,,,,,
59,1,6619,193.19,9/18/2018,3:26:16 PM,1300 E I80 EB,40.72,-111.85,4,1,0.25,1,12:31:44 AM,31.7,1:21:10 AM,81.2,1,100,1072,55576,61576,,,,,
60,1,6194,128.59,9/18/2018,3:31:24 PM,4700 S I215W SB,40.67,-111.95,4,1,0.25,1,1:13:36 AM,73.6,1:09:58 AM,70,1,86.2,30756,55884,61056,,,,,
61,1,3645,151.31,9/19/2018,8:53:33 AM,2100 S I15 NB,40.72,-111.9,4,2,0.5,2,12:06:27 AM,6.5,1:19:59 AM,80,1,98.5,24924,32013,37923,,,,,
62,1,11311,6.22,9/20/2018,5:27:04 PM,1900 W I80 EB,40.77,-111.95,4,1,0.25,1,12:38:56 AM,38.9,1:10:45 AM,70.7,2,87.2,46144,62824,68056,,,,,
63,1,5336,15.5,9/24/2018,8:23:48 AM,700 E I80 WB,40.72,-111.89,5,1,0.2,1,12:47:12 AM,47.2,12:51:23 AM,51.4,1,63.3,46144,30228,34026,,,,,
64,1,2071,36.27,9/25/2018,12:40:20 PM,281930 I15 NB,40.4,-111.85,5,1,0.2,1,12:25:40 AM,25.7,1:03:52 AM,63.9,1,78.7,25072,45620,50342,,,,,
65,1,1947,15.05,9/26/2018,11:11:51 AM,280003 I15 NB,40.4,-111.84,5,1,0.2,1,12:22:09 AM,22.2,1:52:05 AM,112.1,3,138.1,24897,40311,48597,,,,,
66,1,6193,186.55,9/28/2018,10:50:49 AM,7200 S I15 NB,40.61,-111.9,6,1,0.17,1,12:40:11 AM,40.2,1:07:32 AM,67.5,1,83.2,1549,39049,44041,,,,,
67,2,6877,331.53,3/1/2018,5:30:53 PM,14793 S I15 SB,40.49,-111.89,7,2,0.29,2,12:24:07 AM,24.1,1:09:13 AM,69.2,1,85.3,24404,63053,68171,,,,,
68,2,4371,288.19,3/2/2018,7:29:18 AM,277023 I15 NB,40.37,-111.8,6,1,0.17,1,12:09:42 AM,9.7,1:06:39 AM,66.7,1,82.1,24404,26958,31884,,,,,
69,2,7295,301.89,3/2/2018,7:59:07 AM,274983 I15 NB,40.35,-111.76,6,2,0.17,1,12:33:53 AM,33.9,12:19:24 AM,19.4,1,23.9,30812,28747,30181,,,,,
70,2,8575,289.7,3/9/2018,9:51:34 AM,9488 S I15 NB,40.57,-111.9,5,2,0.4,2,12:48:26 AM,48.4,1:21:54 AM,81.9,2,100.9,24570,35494,41548,,,,,
71,2,7560,327.88,3/9/2018,4:13:23 PM,1700 S I15 SB,40.84,-111.92,5,2,0.28,1.39,12:19:37 AM,19.6,1:29:50 AM,89.8,2,110.7,30673,58403,65045,,,,,
72,2,4889,386.7,3/13/2018,11:13:41 AM,6400 S I15 NB,40.64,-111.9,5,2,0.34,1.72,1:06:19 AM,66.3,1:11:46 AM,71.8,1,88.4,24876,40421,45725,,,,,
73,2,6359,327.45,3/13/2018,5:28:56 PM,271005 I15 SB,40.3,-111.73,6,2,0.33,2,12:10:04 AM,10.1,1:37:38 AM,97.6,3,120.3,24422,62936,70154,,,,,
74,2,6477,321.24,3/14/2018,7:08:27 AM,11100 S I15 NB,40.55,-111.9,5,4,0.47,2.33,12:04:33 AM,4.6,1:31:27 AM,91.5,1,112.7,30938,25707,32469,,,,,
75,2,3407,262.34,3/21/2018,8:44:13 AM,279002 I15 NB,40.38,-111.83,5,2,0.34,1.71,12:20:47 AM,20.8,12:36:22 AM,36.4,2,44.8,46144,31453,34141,,,,,
76,2,8455,272.25,3/29/2018,2:32:33 PM,2700 S I15 NB,40.71,-111.9,4,1,0.25,1,1:03:27 AM,63.5,12:44:17 AM,44.3,2,54.6,30938,52353,55629,,,,,
77,2,22548,385.17,5/3/2018,1:51:18 PM,8900 S I15 NB,40.59,-111.9,6,1,0.17,1,12:20:42 AM,20.7,12:43:39 AM,43.6,2,53.8,31665,49878,53106,,,,,
78,2,5148,202.18,5/9/2018,5:54:34 PM,264991 I15 SB,40.23,-111.68,4,1,0.25,1,12:33:26 AM,33.4,12:51:11 AM,51.2,1,63.1,24897,64474,68260,,,,,
79,2,11551,293.42,5/22/2018,5:36:01 PM,266048 I15 SB,40.24,-111.69,5,3,0.24,1.18,12:13:59 AM,14,2:09:44 AM,129.7,2,159.8,30803,63361,72949,,,,,
80,2,10557,281.45,5/29/2018,5:24:18 PM,1800 S I15 NB,40.73,-111.9,5,2,0.27,1.36,12:17:42 AM,17.7,1:14:20 AM,74.3,2,91.6,24404,62658,68154,,,,,
81,2,6727,285.78,6/1/2018,1:43:14 PM,5605 S I15 NB,40.65,-111.9,5,1,0.2,1,12:50:46 AM,50.8,12:29:44 AM,29.7,1,36.6,46870,49394,51590,,,,,
82,2,2633,306.97,6/19/2018,9:23:54 AM,278101 I15 NB,40.37,-111.8,6,2,0.27,1.64,12:39:06 AM,39.1,12:52:04 AM,52.1,1,64.1,30751,33834,37680,,,,,
83,2,3959,375.6,6/19/2018,3:18:33 PM,284049 I15 SB,40.44,-111.9,6,1,0.17,1,12:35:27 AM,35.5,1:18:27 AM,78.5,2,96.7,30708,55113,60915,,,,,
84,2,11418,252.59,6/19/2018,5:39:19 PM,500 S I15 NB,40.74,-111.9,4,1,0.25,1,12:55:41 AM,55.7,1:53:25 AM,113.4,1,139.7,35812,63559,71941,,,,,
85,2,5827,380.01,6/26/2018,6:11:38 PM,1000 N I15 NB,40.79,-111.92,4,1,0.25,1,12:39:22 AM,39.4,1:45:09 AM,105.1,1,129.5,24547,65498,73268,,,,,
86,2,8632,267.66,6/27/2018,8:01:40 AM,2900 S I15 NB,40.71,-111.9,6,1,0.17,1,12:29:20 AM,29.3,3:16:49 AM,196.8,2,242.5,30847,28900,43450,,,,,
87,2,8633,323.47,6/28/2018,6:33:50 PM,6000 S I15 SB,40.65,-111.9,5,1,0.2,1,1:49:10 AM,109.2,1:16:25 AM,76.4,1,94.1,30667,66830,72476,,,,,
88,2,2731,242.4,7/6/2018,8:49:59 AM,4892 E I80 EB,40.72,-111.78,3,2,0.65,1.95,12:23:01 AM,23,12:58:36 AM,58.6,2,72.2,30673,31799,36131,,,,,
89,2,6303,351.37,7/9/2018,8:46:00 AM,284049 I15 SB,40.44,-111.89,4,3,0.75,3,12:13:00 AM,13,12:13:09 AM,13.1,2,16.2,24399,31560,32532,,,,,
90,2,3876,274.87,7/19/2018,2:02:42 PM,2000 E I80 WB,40.72,-111.83,3,1,0.33,1,12:56:18 AM,56.3,1:10:34 AM,70.6,1,86.9,30812,50562,55776,,,,,
91,2,4220,207.25,7/23/2018,9:00:05 AM,2400 S I15 SB,40.74,-111.9,4,3,0.33,1.31,12:29:55 AM,29.9,12:33:18 AM,33.3,2,41,24390,32405,34865,,,,,
92,2,6793,359.04,8/6/2018,7:45:46 AM,1300 W I215S EB,40.64,-111.93,5,1,0.2,1,1:01:14 AM,61.2,1:49:22 AM,109.4,1,134.7,24404,27946,36028,,,,,
93,2,2836,209.62,8/7/2018,5:06:11 PM,4500 S I15 SB,40.68,-111.9,7,1,0.14,1,12:07:49 AM,7.8,12:42:57 AM,43,2,52.9,24988,61571,64745,,,,,
94,2,4610,237.2,8/22/2018,7:55:19 AM,275000 I15 NB,40.34,-111.75,6,2,0.21,1.27,12:14:41 AM,14.7,12:21:57 AM,21.9,1,27,24390,28519,30139,,,,,
