trip_id,person_id,number_of_participants,trip_mode,PlanElementIndex,ActivityElement,ActivityType,x,y,departure_time
1146472493,3495342,1,WALK,4,leg,,,,
,3495342,,,5,activity,home,-122.4119651,37.77936589,16.555
1146472377,3495342,1,WALK_LOC,6,leg,,,,
,3495342,,,7,activity,othdiscr,-122.3918772,37.79295781,22.9
1146472381,3495342,1,WALK_LRF,8,leg,,,,
,3495342,,,9,activity,home,-122.4167542,37.77680818,
,3495343,,,1,activity,Home,-122.4131414,37.77729292,13.132
1146472817,3495343,1,WALK,2,leg,,,,
,3495343,,,3,activity,work,-122.4159266,37.78146693,14.135
1146472537,3495343,1,WALK,4,leg,,,,
,3495343,,,5,activity,othmaint,-122.4139698,37.78920104,14.457
1146472538,3495343,1,WALK,6,leg,,,,
,3495343,,,7,activity,shopping,-122.4129709,37.78965019,14.637
1146472539,3495343,1,WALK,8,leg,,,,
,3495343,,,9,activity,escort,-122.41354,37.78581383,14.668
1146472540,3495343,1,WALK,10,leg,,,,
,3495343,,,11,activity,atwork,-122.3932221,37.78999502,14.999
1146472541,3495343,1,WALK,12,leg,,,,
,3495343,,,13,activity,work,-122.415332,37.78411215,17.747
1146472821,3495343,1,WALK,14,leg,,,,
,3495343,,,15,activity,home,-122.4131414,37.77729292,
,3596364,,,1,activity,Home,-122.4194236,37.78206799,14.723
1179607441,3596364,1,WALK,2,leg,,,,
,3596364,,,3,activity,eatout,-122.4057334,37.78936295,14.89
1179607445,3596364,1,WALK,4,leg,,,,
,3596364,,,5,activity,home,-122.4146795,37.77894982,19.23
1179607657,3596364,1,WALK_LRF,6,leg,,,,
,3596364,,,7,activity,shopping,-122.3966181,37.79705361,20.246
1179607661,3596364,1,WALK_LRF,8,leg,,,,
,3596364,,,9,activity,shopping,-122.4131956,37.7818313,20.285
1179607662,3596364,1,WALK_LOC,10,leg,,,,
,3596364,,,11,activity,eatout,-122.4162801,37.77805128,20.598
1179607663,3596364,1,WALK,12,leg,,,,
,3596364,,,13,activity,home,-122.4194236,37.78206799,
,3596365,,,1,activity,Home,-122.4187299,37.78243718,7.287
1179608009,3596365,1,WALK,2,leg,,,,
,3596365,,,3,activity,social,-122.4153353,37.78437249,18.125
1179608013,3596365,1,WALK,4,leg,,,,
,3596365,,,5,activity,home,-122.4187299,37.78243718,
,3891102,,,1,activity,Home,-122.3974172,37.78317794,7.146
1276281769,3891102,1,WALK_LOC,2,leg,,,,
,3891102,,,3,activity,work,-122.4078146,37.78125042,16.201
1276281773,3891102,1,WALK_LOC,4,leg,,,,
,3891102,,,5,activity,home,-122.3974172,37.78317794,
,3891103,,,1,activity,Home,-122.3955667,37.78597782,13.341
1276282049,3891103,1,WALK,2,leg,,,,
,3891103,,,3,activity,shopping,-122.3979053,37.78532556,16.561
1276282053,3891103,1,WALK,4,leg,,,,
,3891103,,,5,activity,home,-122.3955667,37.78597782,
,3891104,,,1,activity,Home,-122.3889144,37.79068626,7.404
1276282361,3891104,1,WALK_LRF,2,leg,,,,
,3891104,,,3,activity,school,-122.394065,37.78326892,14.905
1276282365,3891104,1,WALK_LRF,4,leg,,,,
,3891104,,,5,activity,home,-122.3964317,37.78666026,14.982
1276282313,3891104,1,WALK,6,leg,,,,
,3891104,,,7,activity,othdiscr,-122.4012807,37.79343419,15.88
1276282317,3891104,1,WALK,8,leg,,,,
,3891104,,,9,activity,home,-122.390122,37.78920257,16.923
1276282321,3891104,1,WALK_LOC,10,leg,,,,
,3891104,,,11,activity,othdiscr,-122.4081895,37.77104169,21.012
1276282325,3891104,1,WALK_LOC,12,leg,,,,
,3891104,,,13,activity,home,-122.3889144,37.79068626,
,4171615,,,1,activity,Home,-122.3976826,37.78366109,13.258
1368289969,4171615,1,WALK,2,leg,,,,
,4171615,,,3,activity,univ,-122.4013288,37.78537352,13.293
1368289973,4171615,1,WALK,4,leg,,,,
,4171615,,,5,activity,home,-122.3976826,37.78366109,
,4171616,,,1,activity,Home,-122.3919982,37.79001012,9.634
1368290273,4171616,1,WALK,2,leg,,,,
,4171616,,,3,activity,othmaint,-122.4053491,37.79128141,11.026
1368290277,4171616,1,WALK,4,leg,,,,
,4171616,,,5,activity,home,-122.3919982,37.79001012,
,4171617,,,1,activity,Home,-122.3904559,37.78829455,9.659
1368290689,4171617,1,WALK,2,leg,,,,
,4171617,,,3,activity,social,-122.4094139,37.78527636,12.716
1368290690,4171617,1,WALK,4,leg,,,,
,4171617,,,5,activity,work,-122.3914609,37.79407327,18.018
1368290693,4171617,1,WALK,6,leg,,,,
,4171617,,,7,activity,home,-122.3904559,37.78829455,
,4171619,,,1,activity,Home,-122.392422,37.79030814,13.751
1368291297,4171619,1,WALK,2,leg,,,,
,4171619,,,3,activity,shopping,-122.3968374,37.79342919,14.911
1368291301,4171619,1,WALK,4,leg,,,,
,4171619,,,5,activity,shopping,-122.4137594,37.7848456,15.356
1368291302,4171619,1,WALK,6,leg,,,,
,4171619,,,7,activity,home,-122.392422,37.79030814,
,4171620,,,1,activity,Home,-122.3945179,37.78653636,7.226
1368291609,4171620,1,WALK_LOC,2,leg,,,,
,4171620,,,3,activity,school,-122.4106198,37.78296186,15.211
1368291613,4171620,1,WALK_LOC,4,leg,,,,
,4171620,,,5,activity,home,-122.3945179,37.78653636,
,4171622,,,1,activity,Home,-122.3890515,37.79125911,9.309
1368292281,4171622,1,WALK,2,leg,,,,
,4171622,,,3,activity,shopping,-122.4074507,37.77123886,15.706
1368292285,4171622,1,WALK,4,leg,,,,
,4171622,,,5,activity,home,-122.3890515,37.79125911,
,4171623,,,1,activity,Home,-122.3916025,37.78728549,8.097
1368292657,4171623,1,WALK,2,leg,,,,
,4171623,,,3,activity,escort,-122.4081914,37.79595382,8.265
1368292658,4171623,1,WALK,4,leg,,,,
,4171623,,,5,activity,work,-122.4024474,37.78229087,10.225
1368292377,4171623,1,WALK,6,leg,,,,
,4171623,,,7,activity,atwork,-122.410457,37.78778326,10.76
1368292381,4171623,1,WALK,8,leg,,,,
,4171623,,,9,activity,othmaint,-122.4133797,37.7888675,10.925
1368292382,4171623,1,WALK,10,leg,,,,
,4171623,,,11,activity,work,-122.4015104,37.78275758,23.049
1368292661,4171623,1,WALK,12,leg,,,,
,4171623,,,13,activity,work,-122.4094732,37.78718553,23.926
1368292662,4171623,1,WALK,14,leg,,,,
,4171623,,,15,activity,home,-122.3916025,37.78728549,
,4823797,,,1,activity,Home,-122.3960273,37.79132235,11.131
1582205729,4823797,1,BIKE,2,leg,,,,
,4823797,,,3,activity,work,-122.4017747,37.78442778,15.1
1582205733,4823797,1,BIKE,4,leg,,,,
,4823797,,,5,activity,home,-122.3961094,37.7917375,15.613
1582205641,4823797,1,WALK,6,leg,,,,
,4823797,,,7,activity,othmaint,-122.4092327,37.78546458,15.881
1582205645,4823797,1,WALK,8,leg,,,,
,4823797,,,9,activity,home,-122.3966504,37.7926838,16.052
1582205617,4823797,1,WALK,10,leg,,,,
,4823797,,,11,activity,othdiscr,-122.393296,37.78729472,18.608
1582205621,4823797,1,WALK,12,leg,,,,
,4823797,,,13,activity,home,-122.3960273,37.79132235,
,5057160,,,1,activity,Home,-122.4070549,37.78785455,7.38
1658748793,5057160,1,WALK_LRF,2,leg,,,,
,5057160,,,3,activity,work,-122.4023144,37.80125028,13.753
1658748797,5057160,1,WALK_LOC,4,leg,,,,
,5057160,,,5,activity,home,-122.4070549,37.78785455,
,5057338,,,1,activity,Home,-122.4094446,37.78747241,6.005
1658807177,5057338,1,WALK,2,leg,,,,
,5057338,,,3,activity,work,-122.4006095,37.79229607,17.822
1658807181,5057338,1,WALK_LOC,4,leg,,,,
,5057338,,,5,activity,home,-122.4139872,37.78617699,18.222
1658807089,5057338,1,WALK,6,leg,,,,
,5057338,,,7,activity,othmaint,-122.4111643,37.78662895,18.483
1658807093,5057338,1,WALK,8,leg,,,,
,5057338,,,9,activity,home,-122.4112275,37.78602524,18.924
1658807153,5057338,1,WALK_LOC,10,leg,,,,
,5057338,,,11,activity,social,-122.4118381,37.7898576,19.896
1658807157,5057338,1,WALK_LOC,12,leg,,,,
,5057338,,,13,activity,home,-122.4128287,37.78722752,20.512
1658806913,5057338,1,WALK,14,leg,,,,
,5057338,,,15,activity,eatout,-122.413012,37.77902968,20.844
1658806917,5057338,1,WALK,16,leg,,,,
,5057338,,,17,activity,home,-122.4114338,37.7860011,21.067
1658807129,5057338,1,WALK,18,leg,,,,
,5057338,,,19,activity,shopping,-122.4075226,37.79588748,21.672
1658807133,5057338,1,WALK,20,leg,,,,
,5057338,,,21,activity,home,-122.4094446,37.78747241,
,5057765,,,1,activity,Home,-122.4078887,37.7838496,9.109
1658947233,5057765,1,WALK,2,leg,,,,
,5057765,,,3,activity,othmaint,-122.4091911,37.78573228,10.596
1658947234,5057765,1,WALK,4,leg,,,,
,5057765,,,5,activity,work,-122.4157649,37.78280333,18.882
1658947237,5057765,1,WALK,6,leg,,,,
,5057765,,,7,activity,othdiscr,-122.412198,37.78594029,19.757
1658947238,5057765,1,WALK,8,leg,,,,
,5057765,,,9,activity,home,-122.4078887,37.7838496,
,5386806,,,1,activity,Home,-122.412198,37.78594029,11.382
1766872681,5386806,1,WALK,2,leg,,,,
,5386806,,,3,activity,work,-122.4119869,37.78981927,20.641
1766872685,5386806,1,WALK,4,leg,,,,
,5386806,,,5,activity,home,-122.412198,37.78594029,
,5386807,,,1,activity,Home,-122.4083955,37.78650489,8.529
1766872897,5386807,1,WALK,2,leg,,,,
,5386807,,,3,activity,othdiscr,-122.4009451,37.78881561,11.356
1766872901,5386807,1,WALK,4,leg,,,,
,5386807,,,5,activity,home,-122.4100753,37.7877837,11.918
1766872921,5386807,1,BIKE,6,leg,,,,
,5386807,,,7,activity,othmaint,-122.4061232,37.79061212,20.043
1766872925,5386807,1,BIKE,8,leg,,,,
,5386807,,,9,activity,home,-122.4083955,37.78650489,
,5387236,,,1,activity,Home,-122.4139739,37.78145261,7.785
1767013721,5387236,1,WALK_LRF,2,leg,,,,
,5387236,,,3,activity,work,-122.3974297,37.79238948,16.221
1767013725,5387236,1,WALK_LRF,4,leg,,,,
,5387236,,,5,activity,shopping,-122.4110954,37.78237324,16.876
1767013726,5387236,1,WALK_LOC,6,leg,,,,
,5387236,,,7,activity,home,-122.4139739,37.78145261,
,5387237,,,1,activity,Home,-122.4157286,37.78033343,7.836
1767013785,5387237,1,WALK,2,leg,,,,
,5387237,,,3,activity,eatout,-122.3984824,37.77958251,10.382
1767013789,5387237,1,WALK,4,leg,,,,
,5387237,,,5,activity,home,-122.4157286,37.78033343,
,5387752,,,1,activity,Home,-122.4174877,37.77672288,12.649
1767182857,5387752,1,WALK_LRF,2,leg,,,,
,5387752,,,3,activity,othdiscr,-122.4013527,37.7932674,16.095
1767182861,5387752,1,WALK_LRF,4,leg,,,,
,5387752,,,5,activity,home,-122.4157096,37.78148568,16.289
1767182945,5387752,1,WALK,6,leg,,,,
,5387752,,,7,activity,social,-122.398617,37.79360501,17.655
1767182949,5387752,1,WALK_LRF,8,leg,,,,
,5387752,,,9,activity,home,-122.4186346,37.77996047,17.658
1767182865,5387752,1,WALK_LRF,10,leg,,,,
,5387752,,,11,activity,othdiscr,-122.394766,37.79196498,22.11
1767182869,5387752,1,WALK_LRF,12,leg,,,,
,5387752,,,13,activity,home,-122.4174877,37.77672288,
,5387753,,,1,activity,Home,-122.3993279,37.78493441,13.911
1767183169,5387753,1,WALK,2,leg,,,,
,5387753,,,3,activity,atwork,-122.4163375,37.78132183,13.939
1767183297,5387753,1,WALK_LRF,4,leg,,,,
,5387753,,,5,activity,work,-122.391074,37.79272078,14.04
1767183173,5387753,1,WALK,6,leg,,,,
,5387753,,,7,activity,work,-122.3987351,37.7862378,23.713
1767183301,5387753,1,WALK_LOC,8,leg,,,,
,5387753,,,9,activity,home,-122.3993279,37.78493441,
,5387762,,,1,activity,Home,-122.4156006,37.78449643,7.289
1767186249,5387762,1,WALK_HVY,2,leg,,,,
,5387762,,,3,activity,work,-122.4019472,37.78991953,17.89
1767186253,5387762,1,WALK_LRF,4,leg,,,,
,5387762,,,5,activity,home,-122.4156006,37.78449643,
,5387763,,,1,activity,Home,-122.4163664,37.78100309,8.397
1767186577,5387763,1,WALK,2,leg,,,,
,5387763,,,3,activity,escort,-122.4115523,37.78624022,8.672
1767186578,5387763,1,WALK_LOC,4,leg,,,,
,5387763,,,5,activity,work,-122.3973012,37.79097568,17.178
1767186581,5387763,1,WALK_LRF,6,leg,,,,
,5387763,,,7,activity,othmaint,-122.4155493,37.78415339,17.908
1767186582,5387763,1,WALK,8,leg,,,,
,5387763,,,9,activity,home,-122.4163664,37.78100309,
,5389226,,,1,activity,Home,-122.390593,37.79131788,9.545
1767666441,5389226,1,WALK,2,leg,,,,
,5389226,,,3,activity,work,-122.3971739,37.79342017,13.47
1767666161,5389226,1,WALK,4,leg,,,,
,5389226,,,5,activity,atwork,-122.4001405,37.79240171,13.881
1767666165,5389226,1,WALK,6,leg,,,,
,5389226,,,7,activity,work,-122.3989562,37.79388367,18.462
1767666445,5389226,1,WALK,8,leg,,,,
,5389226,,,9,activity,home,-122.3983435,37.78424405,20.598
1767666233,5389226,2,TNC_SINGLE,10,leg,,,,
,5389226,,,11,activity,eatout,-122.3994309,37.78874002,20.959
1767666237,5389226,2,TAXI,12,leg,,,,
,5389226,,,13,activity,home,-122.390593,37.79131788,
,5389227,,,1,activity,Home,-122.3938099,37.78624185,6.545
1767666769,5389227,1,WALK,2,leg,,,,
,5389227,,,3,activity,work,-122.3995202,37.80361078,20.524
1767666773,5389227,1,WALK,4,leg,,,,
,5389227,,,5,activity,home,-122.3938099,37.78624185,
,5390966,,,1,activity,Home,-122.3865856,37.7837212,8.253
1768237161,5390966,1,WALK,2,leg,,,,
,5390966,,,3,activity,work,-122.3946861,37.78704046,17.322
1768237165,5390966,1,WALK_LOC,4,leg,,,,
,5390966,,,5,activity,shopping,-122.4061698,37.79545178,18.778
1768237166,5390966,1,WALK_LOC,6,leg,,,,
,5390966,,,7,activity,work,-122.4091911,37.78573228,19.283
1768237167,5390966,1,WALK,8,leg,,,,
,5390966,,,9,activity,home,-122.3950112,37.78312582,21.327
1768236897,5390966,1,WALK,10,leg,,,,
,5390966,,,11,activity,eatout,-122.4119723,37.78808896,21.729
1768236901,5390966,1,WALK,12,leg,,,,
,5390966,,,13,activity,home,-122.3865856,37.7837212,
,5390967,,,1,activity,Home,-122.3969478,37.7826242,6.999
1768237489,5390967,1,WALK,2,leg,,,,
,5390967,,,3,activity,work,-122.393893,37.78212785,16.342
1768237493,5390967,1,WALK,4,leg,,,,
,5390967,,,5,activity,home,-122.3969478,37.7826242,
,7305540,,,1,activity,Home,-122.4109759,37.77547844,11.57
2396217433,7305540,1,WALK,2,leg,,,,
,7305540,,,3,activity,work,-122.4114542,37.77421878,15.022
2396217437,7305540,1,WALK,4,leg,,,,
,7305540,,,5,activity,home,-122.4127414,37.77380199,15.157
2396217321,7305540,1,WALK,6,leg,,,,
,7305540,,,7,activity,othdiscr,-122.4050257,37.7860137,21.657
2396217325,7305540,1,WALK,8,leg,,,,
,7305540,,,9,activity,home,-122.4109759,37.77547844,
,7305541,,,1,activity,Home,-122.4096121,37.77584435,6.43
2396217761,7305541,1,WALK,2,leg,,,,
,7305541,,,3,activity,work,-122.4187299,37.78243718,12.398
2396217765,7305541,1,WALK,4,leg,,,,
,7305541,,,5,activity,home,-122.4128539,37.7728694,13.587
2396217769,7305541,1,WALK,6,leg,,,,
,7305541,,,7,activity,work,-122.419682,37.78401128,18.765
2396217773,7305541,1,WALK,8,leg,,,,
,7305541,,,9,activity,home,-122.4096121,37.77584435,
,7453413,,,1,activity,Home,-122.4097974,37.77283726,16.523
2444719729,7453413,1,WALK,2,leg,,,,
,7453413,,,3,activity,shopping,-122.4067414,37.77279697,16.624
2444719733,7453413,1,WALK,4,leg,,,,
,7453413,,,5,activity,home,-122.4097974,37.77283726,
,7511168,,,1,activity,Home,-122.411731,37.78940715,7.375
2463663417,7511168,1,WALK_LOC,2,leg,,,,
,7511168,,,3,activity,work,-122.400394,37.78680137,18.26
2463663421,7511168,1,WALK_LOC,4,leg,,,,
,7511168,,,5,activity,home,-122.411731,37.78940715,
,7512109,,,1,activity,Home,-122.4109981,37.78420869,8.457
2463972065,7512109,1,WALK,2,leg,,,,
,7512109,,,3,activity,work,-122.4013453,37.79337323,10.179
2463971785,7512109,1,WALK,4,leg,,,,
,7512109,,,5,activity,atwork,-122.4084601,37.78531293,10.298
2463971789,7512109,1,WALK,6,leg,,,,
,7512109,,,7,activity,work,-122.4087187,37.7858043,10.614
2463971790,7512109,1,WALK,8,leg,,,,
,7512109,,,9,activity,work,-122.4029978,37.79179119,18.241
2463972069,7512109,1,WALK,10,leg,,,,
,7512109,,,11,activity,shopping,-122.4082959,37.78510403,19.484
2463972070,7512109,1,WALK,12,leg,,,,
,7512109,,,13,activity,shopping,-122.4127962,37.78281999,19.657
2463972071,7512109,1,WALK,14,leg,,,,
,7512109,,,15,activity,home,-122.4109981,37.78420869,
,7512514,,,1,activity,Home,-122.4104996,37.78327749,8.141
2464104641,7512514,1,WALK,2,leg,,,,
,7512514,,,3,activity,eatout,-122.4005594,37.7889012,16.039
2464104645,7512514,1,WALK,4,leg,,,,
,7512514,,,5,activity,home,-122.4112183,37.78451661,16.206
2464104881,7512514,1,WALK,6,leg,,,,
,7512514,,,7,activity,social,-122.4209257,37.78390254,16.712
2464104885,7512514,1,WALK_LOC,8,leg,,,,
,7512514,,,9,activity,home,-122.4127853,37.78411859,17.458
2464104857,7512514,1,WALK,10,leg,,,,
,7512514,,,11,activity,shopping,-122.4134289,37.78923446,19.826
2464104861,7512514,1,WALK,12,leg,,,,
,7512514,,,13,activity,home,-122.4104996,37.78327749,
,7512596,,,1,activity,Home,-122.4097704,37.78415974,7.632
2464131801,7512596,1,WALK,2,leg,,,,
,7512596,,,3,activity,work,-122.4195904,37.78207459,18.738
2464131805,7512596,1,WALK,4,leg,,,,
,7512596,,,5,activity,home,-122.4097704,37.78415974,
,7513432,,,1,activity,Home,-122.4130596,37.78262602,5.186
2464406009,7513432,1,BIKE,2,leg,,,,
,7513432,,,3,activity,work,-122.4101352,37.78572894,15.772
2464406013,7513432,1,BIKE,4,leg,,,,
,7513432,,,5,activity,home,-122.4130596,37.78262602,
,7513546,,,1,activity,Home,-122.4092691,37.7842168,7.884
2464443401,7513546,1,WALK,2,leg,,,,
,7513546,,,3,activity,work,-122.4038835,37.79181283,14.872
2464443405,7513546,1,WALK,4,leg,,,,
,7513546,,,5,activity,home,-122.4092691,37.7842168,
,7513554,,,1,activity,Home,-122.4080559,37.78439734,5.347
2464446025,7513554,1,WALK,2,leg,,,,
,7513554,,,3,activity,work,-122.418249,37.77990576,16.306
2464446029,7513554,1,WALK,4,leg,,,,
,7513554,,,5,activity,home,-122.4080559,37.78439734,
,7513565,,,1,activity,Home,-122.4083571,37.78447657,9.252
2464449633,7513565,1,WALK,2,leg,,,,
,7513565,,,3,activity,univ,-122.4189306,37.78340412,9.257
2464449634,7513565,1,WALK,4,leg,,,,
,7513565,,,5,activity,work,-122.4057478,37.79621894,18.16
2464449637,7513565,1,WALK,6,leg,,,,
,7513565,,,7,activity,home,-122.4083571,37.78447657,
,7523517,,,1,activity,Home,-122.4112353,37.78577063,8.217
2467713777,7523517,1,WALK,2,leg,,,,
,7523517,,,3,activity,othdiscr,-122.4177871,37.77836384,13.218
2467713781,7523517,1,WALK,4,leg,,,,
,7523517,,,5,activity,home,-122.4112353,37.78577063,
,7523648,,,1,activity,Home,-122.4149135,37.77799085,7.317
2467756745,7523648,1,WALK,2,leg,,,,
,7523648,,,3,activity,othdiscr,-122.4166024,37.78230037,15.494
2467756749,7523648,1,WALK,4,leg,,,,
,7523648,,,5,activity,home,-122.4149135,37.77799085,
,7539466,,,1,activity,Home,-122.4051934,37.79135533,8.386
2472945097,7539466,1,WALK_LOC,2,leg,,,,
,7539466,,,3,activity,univ,-122.4025255,37.78522463,16.308
2472945101,7539466,1,WALK_LOC,4,leg,,,,
,7539466,,,5,activity,home,-122.4063525,37.79154769,18.301
2472945113,7539466,1,WALK_LOC,6,leg,,,,
,7539466,,,7,activity,shopping,-122.4125724,37.78292191,21.976
2472945117,7539466,1,WALK_LOC,8,leg,,,,
,7539466,,,9,activity,shopping,-122.4065374,37.79674139,22.241
2472945118,7539466,1,WALK,10,leg,,,,
,7539466,,,11,activity,home,-122.4051934,37.79135533,
,7539708,,,1,activity,Home,-122.4003541,37.77717383,16.222
2473024473,7539708,1,WALK_LOC,2,leg,,,,
,7539708,,,3,activity,univ,-122.399751,37.78827567,23.889
2473024477,7539708,1,WALK_LRF,4,leg,,,,
,7539708,,,5,activity,home,-122.4003541,37.77717383,
