Incident ID,Class,Affected Volume,Total Excess Travel time,Number,Date ,Incidents Per Day,Time,Location,Lattitude,Longitude,Lanes,Lanes Closed,Capacity reduction (w/ TWA),Lanes closed  (Time weighted Average),Roadway Clearance Time,Roadway Clearance Time [min],ICT for IMT,ICT for IMT [min],Responding IMTs,Inflated time,MATSim Link,Start Time (sec),End Time (sec),Person ID,Request ID,,,,,,,,,,,,,,
1,1,1545,45.33,8,3/4/2018,1,11:41:15 AM,500 S I15 SB                                                ,40.74,-111.9,5,3,0.38,1.89,12:42:45 AM,42.8,1:12:53 AM,72.9,1,89.8,30673,42075,44640,50000,80000,,,Severity Code,Hours of Excess Travel Time,Frequency,,,,,,,,,
2,1,8933,14.64,10,3/6/2018,,9:02:50 AM,3800 S I215E SB                                             ,40.69,-111.95,3,2,0.49,1.48,12:56:10 AM,56.2,1:19:06 AM,79.1,1,97.5,24448,32570,35940,50001,80001,,,1,0-200,66,,,,,,,,,
3,1,4092,46.95,12,3/7/2018,,7:31:06 AM,7762 E I80 EB                                               ,40.75,-111.72,3,1,0.33,1,12:26:54 AM,26.9,12:30:46 AM,30.8,1,37.9,30652,27066,28680,50002,80002,,,2,200-400,35,,,,,,,,,
4,1,6982,52.16,14,3/7/2018,,9:14:42 AM,281930 I15 NB; MM 282 I15 NB                                ,40.4,-111.85,5,1,0.2,1,12:16:18 AM,16.3,12:55:35 AM,55.6,1,68.5,33522,33282,34260,50003,80003,,,3,400-800,37,,,,,,,,,
5,1,6035,175.65,17,3/8/2018,1,4:27:17 PM,900 S I15 SB                                                ,40.75,-111.91,5,2,0.4,2,12:23:43 AM,23.7,12:18:53 AM,18.9,2,23.3,33607,59237,60660,50004,80004,,,4,800-2000,32,,,,,,,,,
6,1,27602,155.73,26,3/13/2018,,2:32:03 PM,3300 S I15 SB                                               ,40.7,-111.9,4,1,0.25,1,12:14:57 AM,15,12:42:45 AM,42.8,1,52.7,24897,52323,53220,50005,80005,,,5,2000+,19,,,,,,,,,
7,1,4605,14.69,33,3/15/2018,,12:18:41 PM,7682 E I80 WB                                               ,40.74,-111.73,3,2,0.35,1.06,1:04:19 AM,64.3,1:04:31 AM,64.5,2,79.5,24924,44321,48180,50006,80006,,,Total # Of Incidents Analyzed,,189,,,,,,,,,
8,1,5532,104.46,40,3/16/2018,,11:34:20 AM,5400 S I15 NB                                               ,40.64,-111.9,5,2,0.22,1.11,12:12:40 AM,12.7,12:58:07 AM,58.1,2,71.6,24970,41660,42420,50007,80007,,,,,,,,,,,,,,
9,1,10792,75.22,47,3/21/2018,,9:08:23 AM,274983 I15 NB; MM 275 I15 NB                                ,40.35,-111.76,6,1,0.17,1,12:34:37 AM,34.6,2:10:56 AM,130.9,1,161.3,24953,32903,34980,50008,80008,,,Total Incidents From CAD + TS Data Combiner,,1071,,,,,,,,,
10,1,15160,198.83,52,3/26/2018,,9:27:01 AM,11400 S I15 SB                                              ,40.56,-111.9,6,1,0.17,1,1:02:59 AM,63,1:35:01 AM,95,2,117.1,2841,34021,37800,50009,80009,,,,,,,,,,,,,,
11,1,10240,166.39,59,3/29/2018,,8:32:33 AM,278101 I15 NB; MM 278 I15 NB                                ,40.38,-111.83,5,1,0.2,1,12:07:27 AM,7.5,1:08:16 AM,68.3,2,84.1,31635,30753,31200,50010,80010,,,Average Capacity reduction,Average RCT,,,,,,,,,,
12,1,2696,146.6,67,5/1/2018,,6:50:18 AM,269012 I15 SB,40.27,-111.72,5,1,0.2,1,12:49:42 AM,49.7,12:31:09 AM,31.1,1,38.4,30761,24618,27600,50011,80011,,,31.49%,44,min,,,,,,,,,
13,1,2382,32.11,70,5/2/2018,,3:55:00 PM,2200 S I15 NB,40.72,-111.9,4,2,0.5,2,12:09:00 AM,9,1:07:17 AM,67.3,2,82.9,24986,57300,57840,50012,80012,,,Median Capacity reduction,Median RCT,,,,,,,,,,
14,1,4604,82.77,73,5/3/2018,,9:13:30 AM,5800 S I15 SB,40.64,-111.9,6,2,0.28,1.67,12:06:30 AM,6.5,12:55:03 AM,55,1,67.8,24342,33210,33600,50013,80013,,,25.00%,34.6,min,,,,,,,,,
15,1,7086,6.81,86,5/4/2018,,7:27:56 AM,1350 S I215W NB,40.75,-111.95,5,1,0.2,1,12:32:04 AM,32.1,1:08:34 AM,68.6,1,84.5,30667,26876,28800,50014,80014,,,,,,,,,,,,,,
16,1,7945,37.55,87,5/4/2018,,2:20:42 PM,400 E I80  WB,40.72,-111.89,5,2,0.2,1.02,1:14:18 AM,74.3,12:16:25 AM,16.4,1,20.2,24859,51642,56100,50015,80015,,,"Given all UHP reported incidents, probability that we analyze it",,,,,,,,,,,
17,1,741,7.59,90,5/8/2018,1,12:13:59 PM,7762 E I80 EB,40.75,-111.71,3,2,0.67,2,12:17:01 AM,17,1:36:04 AM,96.1,2,118.4,30679,44039,45060,50016,80016,,,17.65%,,,,,,,,,,,
18,1,4291,111.04,101,5/15/2018,1,4:15:17 PM,2500 S I15 SB,40.71,-111.9,4,2,0.5,2,12:04:43 AM,4.7,12:32:13 AM,32.2,1,39.7,4554,58517,58800,50017,80017,,,,,,,,,,,,,,
19,1,3187,27.52,112,5/21/2018,1,1:54:11 PM,1100 S I15 SB,40.74,-111.9,5,1,0.2,1,12:12:49 AM,12.8,12:34:42 AM,34.7,1,42.8,45967,50051,50820,50018,80018,,,Severity Class,Odds MATSim,Percent Likelyhood,,,,,,,,,
20,1,3749,97.45,119,5/23/2018,,4:27:47 PM,3800 W I80 EB                                               ,40.76,-111.99,3,1,0.33,1,1:19:13 AM,79.2,12:59:03 AM,59,2,72.7,31098,59267,64020,50019,80019,,,1,0.349206349,34.92%,,,,,,,,,
21,1,1359,18.68,128,5/30/2018,,3:29:22 PM,4934 W I80 WB; MM 114 I80 WB                                ,40.77,-112.01,4,1,0.25,1,1:14:38 AM,74.6,12:09:41 AM,9.7,1,11.9,24417,55762,60240,50020,80020,,,2,0.534391534,18.52%,,,,,,,,,
22,1,3243,110.41,136,6/4/2018,1,6:23:16 PM,5400 S I15 NB                                               ,40.65,-111.9,5,2,0.2,1,12:06:44 AM,6.7,1:21:33 AM,81.6,2,100.5,2841,66196,66600,50021,80021,,,3,0.73015873,19.58%,,,,,,,,,
23,1,3509,35.61,143,6/13/2018,1,8:16:57 AM,1900 S I215W NB,40.73,-111.95,2,2,0.5,1,1:21:00 AM,81,1:27:10 AM,87.2,2,107.4,24626,29817,34677,50022,80022,,,4,0.899470899,16.93%,,,,,,,,,
24,1,7912,177.03,150,6/19/2018,,8:56:32 AM,279002 I15 NB                                               ,40.38,-111.83,5,1,0.2,1,12:35:28 AM,35.5,4:16:45 AM,256.7,2,316.3,30493,32192,34320,50023,80023,,,5,1,10.05%,,,,,,New Calcs Not Sure If I Did This Right,,,
25,1,12547,62.67,158,6/20/2018,,8:58:01 AM,2400 N I15 SB,40.82,-111.92,4,1,0.25,1,12:22:59 AM,23,12:18:53 AM,18.9,1,23.3,30679,32281,33660,50024,80024,,,,,,,,,,,,,,
26,1,1200,9.9,163,6/21/2018,,1:24:31 AM,259003 I15 SB                                               ,40.14,-111.65,5,6,1.18,5.88,3:05:29 AM,185.5,1:24:41 AM,84.7,1,104.3,24436,5071,16200,50025,80025,,Number of Incidents,Frequency,Odds MATSim,Percent Likelyhood,,Number of Incidents,Frequency,Percent Likelyhood,,Number of Incidents,Frequency,Odds MATSim,Percent Likelyhood
27,1,11813,127.91,168,6/26/2018,,1:41:14 PM,4900 S I15 SB                                               ,40.67,-111.9,5,1,0.2,1,12:19:47 AM,19.8,12:30:29 AM,30.5,2,37.6,46144,49274,50461,50026,80026,,1,6,0.045112782,5%,,Less Than 3,6,5%,,1,3,0.022556391,2.26%
28,1,2755,8.84,173,7/3/2018,1,6:40:33 AM,1300 W I215S WB                                             ,40.64,-111.92,4,1,0.25,1,12:24:27 AM,24.5,12:50:19 AM,50.3,3,62,46870,24033,25500,50027,80027,,2,0,0.045112782,0%,,3,2,2%,,2,3,0.045112782,2.26%
29,1,8803,152.72,174,7/5/2018,1,3:38:58 PM,3000 S I15 NB                                               ,40.71,-111.9,6,1,0.17,1,12:08:02 AM,8,1:02:59 AM,63,1,77.6,30814,56338,56820,50028,80028,,3,2,0.060150376,2%,,4,9,7%,,3,2,0.060150376,1.50%
30,1,6633,79.38,178,7/9/2018,,11:42:54 AM,10600 S I15 SB                                              ,40.55,-111.9,6,1,0.17,1,12:18:06 AM,18.1,1:04:26 AM,64.4,2,79.4,30663,42174,43260,50029,80029,,4,9,0.127819549,7%,,5,7,5%,,4,9,0.127819549,6.77%
31,1,3409,100.31,179,7/10/2018,,8:30:33 AM,13000 S I15 NB                                              ,40.51,-111.89,5,2,0.4,2,12:14:27 AM,14.5,12:51:31 AM,51.5,2,63.5,30816,30633,31500,50030,80030,,5,7,0.180451128,5%,,6,19,14%,,5,7,0.180451128,5.26%
32,1,6145,121.16,180,7/10/2018,2,1:24:37 PM,4500 S I15 NB                                               ,40.67,-111.9,5,1,0.2,1,12:23:23 AM,23.4,12:42:59 AM,43,1,53,45961,48277,49680,50031,80031,,6,19,0.323308271,14%,,7,19,14%,,6,19,0.323308271,14.29%
33,1,2669,51.15,187,7/12/2018,,6:28:15 PM,175 W I215S WB                                              ,40.63,-111.88,3,3,0.88,2.63,12:12:45 AM,12.8,12:37:40 AM,37.7,1,46.4,24342,66495,67260,50032,80032,,7,19,0.466165414,14%,,8,17,13%,,7,19,0.466165414,14.29%
34,1,10519,191.18,188,7/16/2018,,12:23:05 PM,271005 I15 SB                                               ,40.3,-111.73,6,3,0.36,2.17,1:35:55 AM,95.9,1:39:05 AM,99.1,2,122.1,24404,44585,50340,50033,80033,,8,17,0.593984962,13%,,9,8,6%,,8,17,0.593984962,12.78%
35,1,4854,155.03,192,7/17/2018,,5:21:48 PM,2300 S I15 NB                                               ,40.72,-111.9,4,1,0.25,1,12:34:12 AM,34.2,12:36:50 AM,36.8,2,45.4,46144,62508,64560,50034,80034,,9,8,0.654135338,6%,,10,14,11%,,9,8,0.654135338,6.02%
36,1,6477,142.99,193,7/17/2018,,5:32:43 PM,13932 S I15 NB                                              ,40.49,-111.89,5,1,0.2,1,12:27:17 AM,27.3,12:46:00 AM,46,2,56.7,24390,63163,64800,50035,80035,,10,14,0.759398496,11%,,11,12,9%,,10,14,0.759398496,10.53%
37,1,8463,33.47,198,7/18/2018,,2:48:49 PM,272003 I15 SB,40.31,-111.73,6,1,0.17,1,12:23:11 AM,23.2,1:12:51 AM,72.9,1,89.8,30674,53329,54720,50036,80036,,11,12,0.84962406,9%,,12,11,8%,,11,12,0.84962406,9.02%
38,1,6928,34.99,203,7/19/2018,,6:02:09 PM,3900 S I15 SB,40.68,-111.9,7,1,0.14,1,12:08:51 AM,8.9,12:49:57 AM,49.9,1,61.5,35043,64929,65460,50037,80037,,12,11,0.932330827,8%,,13,5,4%,,12,11,0.932330827,8.27%
39,1,5155,51.74,221,7/30/2018,,8:03:20 AM,284059 I15 NB,40.42,-111.88,5,1,0.2,1,12:14:40 AM,14.7,1:32:33 AM,92.5,2,114,24957,29000,29880,50038,80038,,13,5,0.969924812,4%,,14 or More,4,4%,,13,5,0.969924812,3.76%
40,1,2077,4.46,230,8/6/2018,,10:50:59 AM,12200 S I15 SB                                              ,40.52,-111.89,6,1,0.17,1,12:04:01 AM,4,1:06:43 AM,66.7,1,82.2,30667,39059,39300,50039,80039,,14,2,0.984962406,2%,,,,,,14,0.8,0.97593985,0.60%
41,1,10225,112.41,231,8/6/2018,,4:47:18 PM,7121 S I15 SB                                               ,40.65,-111.9,7,1,0.14,1,12:09:42 AM,9.7,12:22:32 AM,22.5,1,27.8,30847,60438,61020,50040,80040,,15,0,0.984962406,0%,,,,,,15,0.8,0.981954887,0.60%
42,1,5483,114.35,236,8/8/2018,,8:03:57 AM,271005 I15 NB,40.3,-111.73,6,2,0.21,1.23,12:27:03 AM,27.1,12:13:14 AM,13.2,1,16.3,30679,29037,30660,50041,80041,,16,0,0.984962406,0%,,,,,,16,0.8,0.987969925,0.60%
43,1,3348,94.47,243,8/16/2018,1,7:58:34 AM,14200 S I15 NB,40.5,-111.89,5,1,0.2,1,12:11:26 AM,11.4,12:40:45 AM,40.8,1,50.2,24924,28714,29400,50042,80042,,17,0,0.984962406,0%,,,,,,17,0.8,0.993984962,0.60%
44,1,10350,23.7,251,8/22/2018,,9:32:06 AM,6200 S I15 SB,40.65,-111.9,7,1,0.14,1,1:11:54 AM,71.9,12:46:03 AM,46.1,1,56.7,30674,34326,38640,50043,80043,,18,2,1,2%,,,,,,18,0.8,1,0.60%
45,1,9212,1.15,257,8/23/2018,,1:36:43 PM,261034 I15 SB,40.16,-111.65,6,1,0.17,1,12:17:17 AM,17.3,12:23:39 AM,23.6,1,29.1,24616,49003,50040,50044,80044,,,,,,,,,,,,,,
46,1,2888,84.48,259,8/24/2018,1,5:49:06 PM,1300 E I80 EB                                               ,40.72,-111.87,4,1,0.25,1,12:13:54 AM,13.9,12:24:15 AM,24.3,1,29.9,24514,64146,64980,50045,80045,,,,,,,,,,,,,,
47,1,6159,18.08,262,8/27/2018,,9:35:04 AM,1133 N I15 SB,40.79,-111.92,4,1,0.25,1,12:50:56 AM,50.9,1:30:13 AM,90.2,1,111.1,24351,34504,37560,50046,80046,,,,,,,,,,,,,,
48,1,2803,165.34,261,8/27/2018,,5:28:14 PM,2730 S I15 NB,40.71,-111.9,6,1,0.17,1,12:31:46 AM,31.8,12:28:06 AM,28.1,2,34.6,2841,62894,64800,50047,80047,,,,,,,,,,,,,,
49,1,4978,6.32,276,9/6/2018,,6:51:36 AM,279008 I15 SB                                               ,40.38,-111.83,6,2,0.33,2,12:49:24 AM,49.4,1:10:44 AM,70.7,2,87.1,30673,24696,27660,50048,80048,,,,,,,,,,,,,,
50,1,6973,30.28,277,9/6/2018,,5:08:22 PM,14400 S I15 NB                                              ,40.48,-111.9,6,1,0.17,1,12:51:38 AM,51.6,1:06:06 AM,66.1,1,81.4,31022,61702,64800,50049,80049,,,,,,,,,,,,,,
51,1,7957,172.84,283,9/7/2018,,3:34:47 PM,645 W I215S WB                                              ,40.63,-111.89,3,1,0.33,1,12:52:13 AM,52.2,12:59:50 AM,59.8,2,73.7,24913,56087,59220,50050,80050,,,,,,,,,,,,,,
52,1,5162,183.36,286,9/10/2018,,8:24:28 AM,514 E I215S WB                                              ,40.63,-111.87,3,1,0.33,1,12:52:32 AM,52.5,12:39:22 AM,39.4,1,48.5,24384,30268,33420,50051,80051,,,,,,,,,,,,,,
53,1,3703,44.92,287,9/10/2018,2,9:47:48 AM,7200 S I15 SB                                               ,40.62,-111.91,5,2,0.4,2,12:14:12 AM,14.2,2:08:37 AM,128.6,3,158.5,24605,35268,36120,50052,80052,,,,,,,,,,,,,,
54,1,1525,161.91,289,9/11/2018,,1:34:12 PM,256997 I15 NB                                               ,40.11,-111.67,3,2,0.52,1.57,12:51:48 AM,51.8,3:04:13 AM,184.2,4,227,38274,48852,51960,50053,80053,,,,,,,,,,,,,,
55,1,2669,165.1,290,9/12/2018,,11:39:07 AM,1746 N I15 NB                                               ,40.8,-111.92,4,1,0.25,1,12:55:53 AM,55.9,12:48:50 AM,48.8,1,60.2,30859,41947,45300,50054,80054,,,,,,,,,,,,,,
56,1,11060,88.29,291,9/12/2018,,2:17:15 PM,261033 I15 NB; MM 261 I15 NB                                ,40.18,-111.65,5,1,0.2,1,12:29:45 AM,29.8,12:52:34 AM,52.6,1,64.8,31073,51435,53220,50055,80055,,,,,,,,,,,,,,
57,1,7128,70.6,304,9/18/2018,,9:04:30 AM,2200 S I15 NB                                               ,40.71,-111.9,4,1,0.25,1,12:04:30 AM,4.5,2:03:21 AM,123.4,3,152,30651,32670,32940,50056,80056,,,,,,,,,,,,,,
58,1,10478,104.73,305,9/18/2018,,12:50:36 PM,4200 S I15 SB                                               ,40.68,-111.9,7,1,0.14,1,12:21:24 AM,21.4,2:16:31 AM,136.5,2,168.2,35810,46236,47520,50057,80057,,,,,,,,,,,,,,
59,1,6619,193.19,307,9/18/2018,,3:26:16 PM,1300 E I80 EB                                               ,40.72,-111.85,4,1,0.25,1,12:31:44 AM,31.7,1:21:10 AM,81.2,1,100,1072,55576,57480,50058,80058,,,,,,,,,,,,,,
60,1,6194,128.59,308,9/18/2018,,3:31:24 PM,4700 S I215W SB                                             ,40.67,-111.95,4,1,0.25,1,1:13:36 AM,73.6,1:09:58 AM,70,1,86.2,30756,55884,60300,50059,80059,,,,,,,,,,,,,,
61,1,3645,151.31,310,9/19/2018,1,8:53:33 AM,2100 S I15 NB                                               ,40.72,-111.9,4,2,0.5,2,12:06:27 AM,6.5,1:19:59 AM,80,1,98.5,24924,32013,32400,50060,80060,,,,,,,,,,,,,,
62,1,11311,6.22,311,9/20/2018,,5:27:04 PM,1900 W I80 EB,40.77,-111.95,4,1,0.25,1,12:38:56 AM,38.9,1:10:45 AM,70.7,2,87.2,46144,62824,65160,50061,80061,,,,,,,,,,,,,,
63,1,5336,15.5,319,9/24/2018,,8:23:48 AM,700 E I80 WB                                                ,40.72,-111.89,5,1,0.2,1,12:47:12 AM,47.2,12:51:23 AM,51.4,1,63.3,46144,30228,33060,50062,80062,,,,,,,,,,,,,,
64,1,2071,36.27,322,9/25/2018,1,12:40:20 PM,281930 I15 NB,40.4,-111.85,5,1,0.2,1,12:25:40 AM,25.7,1:03:52 AM,63.9,1,78.7,25072,45620,47160,50063,80063,,,,,,,,,,,,,,
65,1,1947,15.05,324,9/26/2018,1,11:11:51 AM,280003 I15 NB                                               ,40.4,-111.84,5,1,0.2,1,12:22:09 AM,22.2,1:52:05 AM,112.1,3,138.1,24897,40311,41640,50064,80064,,,,,,,,,,,,,,
66,1,6193,186.55,329,9/28/2018,,10:50:49 AM,7200 S I15 NB                                               ,40.61,-111.9,6,1,0.17,1,12:40:11 AM,40.2,1:07:32 AM,67.5,1,83.2,1549,39049,41460,50065,80065,,,,,,,,,,,,,,
67,2,6877,331.53,3,3/1/2018,,5:30:53 PM,14793 S I15 SB                                              ,40.49,-111.89,7,2,0.29,2,12:24:07 AM,24.1,1:09:13 AM,69.2,1,85.3,24404,63053,64500,50066,80066,,,,,,,,,,,,,,
68,2,4371,288.19,4,3/2/2018,,7:29:18 AM,277023 I15 NB                                               ,40.37,-111.8,6,1,0.17,1,12:09:42 AM,9.7,1:06:39 AM,66.7,1,82.1,24404,26958,27540,50067,80067,,,,,,,,,,,,,,
69,2,7295,301.89,5,3/2/2018,2,7:59:07 AM,274983 I15 NB                                               ,40.35,-111.76,6,2,0.17,1,12:33:53 AM,33.9,12:19:24 AM,19.4,1,23.9,30812,28747,30780,50068,80068,,,,,,,,,,,,,,
70,2,8575,289.7,20,3/9/2018,,9:51:34 AM,9488 S I15 NB                                               ,40.57,-111.9,5,2,0.4,2,12:48:26 AM,48.4,1:21:54 AM,81.9,2,100.9,24570,35494,38400,50069,80069,,,,,,,,,,,,,,
71,2,7560,327.88,22,3/9/2018,2,4:13:23 PM,1700 S I15 SB                                               ,40.84,-111.92,5,2,0.28,1.39,12:19:37 AM,19.6,1:29:50 AM,89.8,2,110.7,30673,58403,59580,50070,80070,,,,,,,,,,,,,,
72,2,4889,386.7,25,3/13/2018,,11:13:41 AM,6400 S I15 NB                                               ,40.64,-111.9,5,2,0.34,1.72,1:06:19 AM,66.3,1:11:46 AM,71.8,1,88.4,24876,40421,44400,50071,80071,,,,,,,,,,,,,,
73,2,6359,327.45,27,3/13/2018,,5:28:56 PM,271005 I15 SB                                               ,40.3,-111.73,6,2,0.33,2,12:10:04 AM,10.1,1:37:38 AM,97.6,3,120.3,24422,62936,63540,50072,80072,,,,,,,,,,,,,,
74,2,6477,321.24,31,3/14/2018,1,7:08:27 AM,11100 S I15 NB                                              ,40.55,-111.9,5,4,0.47,2.33,12:04:33 AM,4.6,1:31:27 AM,91.5,1,112.7,30938,25707,25980,50073,80073,,,,,,,,,,,,,,
75,2,3407,262.34,46,3/21/2018,,8:44:13 AM,279002 I15 NB                                               ,40.38,-111.83,5,2,0.34,1.71,12:20:47 AM,20.8,12:36:22 AM,36.4,2,44.8,46144,31453,32700,50074,80074,,,,,,,,,,,,,,
76,2,8455,272.25,60,3/29/2018,,2:32:33 PM,2700 S I15 NB                                               ,40.71,-111.9,4,1,0.25,1,1:03:27 AM,63.5,12:44:17 AM,44.3,2,54.6,30938,52353,56160,50075,80075,,,,,,,,,,,,,,
77,2,22548,385.17,74,5/3/2018,,1:51:18 PM,8900 S I15 NB                                               ,40.59,-111.9,6,1,0.17,1,12:20:42 AM,20.7,12:43:39 AM,43.6,2,53.8,31665,49878,51120,50076,80076,,,,,,,,,,,,,,
78,2,5148,202.18,94,5/9/2018,,5:54:34 PM,264991 I15 SB,40.23,-111.68,4,1,0.25,1,12:33:26 AM,33.4,12:51:11 AM,51.2,1,63.1,24897,64474,66480,50077,80077,,,,,,,,,,,,,,
79,2,11551,293.42,114,5/22/2018,,5:36:01 PM,266048 I15 SB                                               ,40.24,-111.69,5,3,0.24,1.18,12:13:59 AM,14,2:09:44 AM,129.7,2,159.8,30803,63361,64200,50078,80078,,,,,,,,,,,,,,
80,2,10557,281.45,124,5/29/2018,,5:24:18 PM,1800 S I15 NB                                               ,40.73,-111.9,5,2,0.27,1.36,12:17:42 AM,17.7,1:14:20 AM,74.3,2,91.6,24404,62658,63720,50079,80079,,,,,,,,,,,,,,
81,2,6727,285.78,135,6/1/2018,1,1:43:14 PM,5605 S I15 NB,40.65,-111.9,5,1,0.2,1,12:50:46 AM,50.8,12:29:44 AM,29.7,1,36.6,46870,49394,52440,50080,80080,,,,,,,,,,,,,,
82,2,2633,306.97,151,6/19/2018,,9:23:54 AM,278101 I15 NB,40.37,-111.8,6,2,0.27,1.64,12:39:06 AM,39.1,12:52:04 AM,52.1,1,64.1,30751,33834,36180,50081,80081,,,,,,,,,,,,,,
83,2,3959,375.6,152,6/19/2018,,3:18:33 PM,284049 I15 SB,40.44,-111.9,6,1,0.17,1,12:35:27 AM,35.5,1:18:27 AM,78.5,2,96.7,30708,55113,57240,50082,80082,,,,,,,,,,,,,,
84,2,11418,252.59,153,6/19/2018,4,5:39:19 PM,500 S I15 NB,40.74,-111.9,4,1,0.25,1,12:55:41 AM,55.7,1:53:25 AM,113.4,1,139.7,35812,63559,66900,50083,80083,,,,,,,,,,,,,,
85,2,5827,380.01,167,6/26/2018,,6:11:38 PM,1000 N I15 NB                                               ,40.79,-111.92,4,1,0.25,1,12:39:22 AM,39.4,1:45:09 AM,105.1,1,129.5,24547,65498,67860,50084,80084,,,,,,,,,,,,,,
86,2,8632,267.66,170,6/27/2018,1,8:01:40 AM,2900 S I15 NB                                               ,40.71,-111.9,6,1,0.17,1,12:29:20 AM,29.3,3:16:49 AM,196.8,2,242.5,30847,28900,30660,50085,80085,,,,,,,,,,,,,,
87,2,8633,323.47,171,6/28/2018,1,6:33:50 PM,6000 S I15 SB                                               ,40.65,-111.9,5,1,0.2,1,1:49:10 AM,109.2,1:16:25 AM,76.4,1,94.1,30667,66830,73380,50086,80086,,,,,,,,,,,,,,
88,2,2731,242.4,175,7/6/2018,1,8:49:59 AM,4892 E I80 EB                                               ,40.72,-111.78,3,2,0.65,1.95,12:23:01 AM,23,12:58:36 AM,58.6,2,72.2,30673,31799,33180,50087,80087,,,,,,,,,,,,,,
89,2,6303,351.37,177,7/9/2018,,8:46:00 AM,284049 I15 SB                                               ,40.44,-111.89,4,3,0.75,3,12:13:00 AM,13,12:13:09 AM,13.1,2,16.2,24399,31560,32340,50088,80088,,,,,,,,,,,,,,
90,2,3876,274.87,204,7/19/2018,,2:02:42 PM,2000 E I80 WB,40.72,-111.83,3,1,0.33,1,12:56:18 AM,56.3,1:10:34 AM,70.6,1,86.9,30812,50562,53940,50089,80089,,,,,,,,,,,,,,
